entry,class,subclass,sound_override,material,displayid,inventory_type,sheath
100100,4,1,-1,7,31263,1,0
100101,4,2,-1,8,28180,1,0
100102,4,2,-1,8,31228,1,0
100103,4,3,-1,5,45174,1,0
100104,4,3,-1,5,31410,1,0
100105,4,4,-1,6,42241,1,0
100106,4,1,-1,7,29797,7,0
100107,4,2,-1,8,28161,7,0
100108,4,2,-1,8,29975,7,0
100109,4,3,-1,5,31415,7,0
100110,4,3,-1,5,31403,7,0
100111,4,4,-1,6,29963,7,0
100112,4,1,-1,7,24013,16,0
100113,4,1,-1,7,29827,16,0
100114,4,1,-1,7,24073,16,0
100115,4,1,-1,7,24108,16,0
100116,4,0,-1,5,3258,11,0
